customer_id,total_orders,total_paid,avg_payment_per_order
7950,5,2060.7799999999997,412.16
6567,3,2000.67,666.89
6050,2,1972.3,986.15
8795,4,1874.5100000000002,468.63
6006,5,1680.5299999999997,336.11
7520,2,1646.67,823.34
8354,4,1630.0299999999997,407.51
9808,3,1619.26,539.75
2833,3,1608.57,536.19
5230,2,1571.2200000000003,785.61
2359,3,1565.66,521.89
9602,2,1527.25,763.63
5466,3,1518.03,506.01
4387,3,1465.62,488.54
9518,2,1463.04,731.52
7989,3,1456.3700000000001,485.46
9955,5,1426.37,285.27
2217,1,1385.16,1385.16
8308,3,1367.11,455.7
4089,3,1350.6100000000001,450.2
1070,3,1326.23,442.08
4360,2,1314.28,657.14
4955,4,1311.7700000000002,327.94
2661,2,1304.39,652.2
1050,2,1302.7,651.35
7308,3,1293.8,431.27
1155,2,1286.48,643.24
2552,1,1276.97,1276.97
9222,3,1264.54,421.51
5713,3,1258.79,419.6
6466,2,1254.86,627.43
6633,2,1254.79,627.4
2388,3,1249.19,416.4
3430,2,1246.88,623.44
3038,2,1244.15,622.08
4102,2,1242.1399999999999,621.07
2482,2,1237.17,618.59
5051,3,1230.6100000000001,410.2
1894,2,1227.2700000000002,613.64
9871,3,1225.0900000000001,408.36
5959,3,1206.06,402.02
3378,2,1205.29,602.65
8008,2,1203.47,601.74
9246,4,1200.8899999999999,300.22
6861,2,1193.98,596.99
3249,3,1190.9199999999998,396.97
2633,3,1178.21,392.74
5498,3,1172.22,390.74
7932,3,1169.93,389.98
4524,2,1165.3000000000002,582.65
4772,1,1161.73,1161.73
4922,2,1157.92,578.96
3591,1,1151.51,1151.51
5253,3,1151.1999999999998,383.73
7484,3,1140.33,380.11
4688,2,1136.89,568.45
6657,2,1126.76,563.38
1106,2,1118.4099999999999,559.21
6326,2,1115.97,557.99
2262,3,1109.44,369.81
5018,2,1108.35,554.18
6419,2,1105.8899999999999,552.95
9543,3,1096.83,365.61
8318,1,1096.62,1096.62
7221,2,1096.5900000000001,548.3
2094,2,1096.1499999999999,548.08
6712,3,1095.6799999999998,365.23
4987,2,1093.82,546.91
9317,2,1087.77,543.89
2465,2,1083.7,541.85
6535,3,1083.35,361.12
9827,3,1074.66,358.22
9230,2,1074.6,537.3
4602,1,1070.45,1070.45
5127,2,1070.35,535.18
3007,3,1062.23,354.08
4700,3,1062.1,354.03
